,NDB_No,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),FoodGroup
0,1001,0.515743614,4.220687463,0.080718116,5.12872663,0.715609986,0.002200154,0,0.00451893,0.120326428,0.003545612,0.036396776,0.121306092,0.065525268,0.684795779,0.027303603,0,0,0.036541732,0,0.009910651,0.078445121,0.009040573,0.090179086,0.006530181,0.02372984,0,0.053802677,0.404235399,0.040044839,0.677404309,0.882255305,0,0.154114788,0,0,0,0.610165546,0,0.113545351,8.041200053,3.118888037,0.606845258,1.83697764,Dairy and Egg Products
1,1002,0.543366933,4.226574056,0.04653162,4.951045434,0.549425676,0.105240684,0,0.00451893,0.115312827,0.00886403,0.018198388,0.121306092,0.111938999,0.620895706,0.015168668,0.018541602,0.000158851,0,0,0.013874912,0.147661404,0.004735538,0.079521557,0.017413815,0.031639787,0,0.071736902,0.404235399,0.016489051,0.669001134,0.882255305,0.003925367,0.131680356,0.048750895,0,0.014343854,0.360313275,0,0.074615516,7.105397726,2.948707523,0.664279183,1.922418461,Dairy and Egg Products
2,1003,0.007799525,5.156655812,0.026589497,6.290293739,0,0,0,0,0.020054405,0,0,0.015163262,0.013651097,0.002130002,0.003033734,0.00185416,0,0,0,0.00198213,0.011536047,0.000645755,0.008198099,0.002176727,0,0,0,0.479491989,0.002355579,0.831914295,1.083425293,0,0.188254139,0,0,0,0.736406693,0,0.139498574,9.693647253,4.262969938,0.736669859,2.187285004,Dairy and Egg Products
3,1004,1.378241127,2.077967468,2.032197283,1.817280278,1.733064942,0.085805994,0,0.037657751,2.647181424,0.054956985,0.418562927,1.956060736,0.698936188,1.220491388,0.806973152,0.074166406,0.001429663,0.529855115,0,0.057481778,0.881354006,0.218695755,1.417451266,0.361336672,0.284758086,0,0.645632119,0.331128997,0.287380608,0.195441579,0.252448612,0,0.072180344,0,0,0,0.065750598,0.162390614,0.038929835,2.922464643,1.154022699,0.159538681,0.640806154,Dairy and Egg Products
4,1005,1.335993698,2.183926149,2.206928264,1.876718116,1.078502253,0.102307146,0,0.038410906,3.379167197,0.076230657,0.436761315,2.279543648,0.37130985,0.596400678,0.78877075,0.044499844,0.001906217,0.529855115,0,0.027749824,0.809830513,0.025399704,0.236105243,0.141487251,0.158198936,0,0.358684511,0.331128997,0.296802923,0.292755764,0.376043245,0,0.074131164,0,0,0,0.068380622,0.162390614,0.040551911,2.937336042,1.275686187,0.156347907,0.803143712,Dairy and Egg Products
5,1006,1.573554241,1.966122193,1.970471664,1.750254631,0.91570946,0.016501153,0,0.033891976,0.922502618,0.088640299,0.363967763,0.950231055,0.414993362,0.669885762,0.722028609,0.035229043,0.005400948,0.529855115,0,0.13874912,1.199748909,0.081795656,0.56566881,0.51153083,0.514146543,0,1.165724659,0.331128997,0.388670495,0.16047353,0.227466718,0,0.00877869,0,0,0,0.063120574,0.162390614,0.037307758,2.725379476,1.188889674,0.164723688,0.854408205,Dairy and Egg Products
6,1007,1.683397556,1.765978018,1.880257299,1.534002072,1.248078079,0.016867845,0,0.034645131,1.945277259,0.058502597,0.363967763,1.753883916,0.510551043,0.89673102,0.722028609,0.038937363,0.006036353,0.529855115,0,0.055499648,1.125918207,0.135608588,1.118220663,0.494117015,0.490416703,0,1.111921983,0.331128997,0.306225238,0.222277524,0.315560765,0,0.011704921,0,0,0,0.055230502,0.129912492,0.032441529,2.388659703,1.042003267,0.144382506,0.615173907,Dairy and Egg Products
7,1008,1.276522317,2.213359116,2.391155494,1.84636688,1.112417418,0.112207838,0,0.643425268,3.374153596,0.113459582,0.400364539,2.476666048,0.253910412,0.734850835,0.891917694,0.044499844,0.003335879,0.529855115,0,0.061446039,1.038244248,0.038745311,0.155763875,0.161077793,0.142379043,0,0.32281606,0.937401024,0.063600626,0.28570794,0.344487168,0.123637006,0.215872386,0.086320878,0.142117722,0.214021391,0.350192519,0.188135755,0.253556273,2.909158655,1.227762642,0.165521381,0.79459963,Dairy and Egg Products
8,1009,1.203076786,2.378183731,2.171792143,2.106249341,1.258252629,0.113307915,0,0.036151441,3.559656839,0.024819284,0.49135648,2.29976133,0.207496681,0.695445791,1.10427905,0.055624805,0.004288988,1.041439365,0,0.057481778,0.98748564,0.012699852,0.336122047,0.143663978,0.213568564,0,0.484224089,0.354781068,0.259113663,0.336669128,0.433896052,0,0.082909854,0,0,0,0.186731697,0.194868737,0.038929835,2.953459769,1.371830017,0.283380582,0.845864123,Dairy and Egg Products
9,1010,1.223550541,2.278111643,2.219273387,1.934891319,1.220945947,0.17527891,0,0.643425268,3.22374556,0.037228926,0.382166151,2.345251115,0.259370851,0.745500848,0.846411689,0.077874727,0.001906217,0.529855115,0,0.091177993,0.676012366,0.017220138,0.338581476,0.161077793,0.142379043,0,0.32281606,0.937401024,0.195513037,0.267004099,0.289264034,0.123637006,0.215872386,0.086320878,0.142117722,0.214021391,0.350192519,0.188135755,0.253556273,3.04863672,1.286517205,0.173498316,0.880040451,Dairy and Egg Products
